MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0,0,1,0,1,0,0,0.21,2.79,5.82,0.91,143.7,0.444,1.81
0,0,1,0,1,0,0,0.2,2.8,10.875,1.055,155.65,0.7445,1.82
0,0,1,0,1,0,0,0.31,2.69,8.645,1.02,124.6,0.6825,1.75
0,0,1,0,1,0,0,0.45,2.55,15.9,1.12,163.6,0.769,1.84
0,0,1,0,1,0,0,2.7,0.3,1.89,0.995,40.85,0.485,2.32
0,0,1,0,1,0,0,2.8,0.2,2.575,1.085,44.4,0.525,2.35
0,0,1,0,1,0,0,2.9,0.1,3.06,1.175,46.6,0.565,2.38
0,0,1,0,1,0,0,2,1,6.135,1.141,84.2,0.62,2.07
0,0,1,0,1,0,0,3,0,6.61,1.36,67.5,0.753,2.3
0,0,1,0,1,0,0,1,2,11.495,1.15,143.3,0.719,1.91
0,0,1,0,1,0,0,0,3,10.7,1.05,159,0.66,1.72
0,0,1,0,0,1,0,0.5,2.5,1.6,0.444,65.76,0.55,1.375
0,0,1,0,0,1,0,0.6,2.4,2.02,0.563,62.25,0.577,1.4
0,0,1,0,0,1,0,2.5,0.5,0,0.572,0.1,0.372,2.36
0,0,1,0,0,1,0,2,1,1.32,0.443,74.915,0.489,1.64
0,0,1,0,0,1,0,3,0,0.355,0.4225,16.5,0.5205,1.8
0,0,1,0,0,1,0,1,2,1.67,0.289,150.6,0.38,1.37
0,0,1,0,0,1,0,0,3,1.66,0.38,93,0.468,1.3
0.9,0,0,0.1,1,0,0,0,3,14.01,1.01,201.2,0.692,1.59
0.8,0,0,0.2,1,0,0,0,3,13.31,1.02,192.8,0.701,1.59
0.7,0,0,0.3,1,0,0,0,3,13.28,1.04,192.1,0.672,1.59
0.6,0,0,0.4,1,0,0,0,3,8.95,0.96,182,0.522,1.59
0.5,0,0,0.5,1,0,0,3,0,3,1.49,31.7,0.585,2.38
0.5,0,0,0.5,1,0,0,0,3,7.21,1.03,145.2,0.497,1.59
0.974,0.026,0,0,1,0,0,0,3,19.47,1.043,246.7,0.764,1.516
0.98,0.02,0,0,1,0,0,0,3,13.13,0.99,181.8,0.728,1.51
0.95,0.05,0,0,1,0,0,0,3,15.625,1.034,219.1,0.682,1.5
0.875,0.125,0,0,1,0,0,1,2,13.93,1.151,168.4,0.718,1.71
0.875,0.125,0,0,1,0,0,0,3,18.01,1.08,219.7,0.759,1.55
0.85,0.15,0,0,1,0,0,2.55,0.45,13.2,1.04,191,0.66,1.53
0.85,0.15,0,0,1,0,0,0,3,21.4,1.12,238.5,0.79,1.63
0.83,0.17,0,0,1,0,0,0.5,2.5,16.01,1.042,227.37,0.676,1.625
0.83,0.17,0,0,1,0,0,1.5,1.5,8.68,1.069,103.29,0.789,1.858
0.83,0.17,0,0,1,0,0,2.5,0.5,2.31,0.951,28.27,0.859,2.153
0.83,0.17,0,0,1,0,0,2,1,3.48,0.939,50.95,0.736,1.989
0.83,0.17,0,0,1,0,0,3,0,7.07,1.372,62.61,0.815,2.296
0.83,0.17,0,0,1,0,0,1,2,12.22,1.125,167.07,0.647,1.764
0.83,0.17,0,0,1,0,0,0,3,11.78,1.046,187.68,0.599,1.588
0.9,0.1,0,0,0.9,0.1,0,0,3,12.1,0.77,212.3,0.75,1.44
0.9,0.1,0,0,1,0,0,2.7,0.3,0.21,0.36,19.3,0.3,2.14
0.9,0.1,0,0,1,0,0,0,3,15.46,1.025,210.45,0.69,1.565
0.75,0.25,0,0,0.75,0.25,0,0,3,12.44,0.78,245,0.75,1.33
0.75,0.25,0,0,1,0,0,0,3,13.03,0.877,221.5,0.671,1.54
0.75,0.25,0,0,0,1,0,0,3,5.43,0.53,207,0.524,1.3
0.8,0.2,0,0,1,0,0,0,3,14.64,1.005,196,0.705,1.565
0.7,0.3,0,0,0.3,0.7,0,0,3,12,0.74,270,0.6,1.33
